,Period,PersonID,Activity,WorkHours,WorkAmount,WIPFees,BillHours,BillAmount,ARFees,WUpDown,FeesCollected,WOff,Month,Year
45,32023,7752,626417,0.8,284.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
46,12023,7854,536932,2.1,766.5,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
47,12023,7304,569719,3.8,2090.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
48,22023,7036,568162,0.0,0.0,0.0,2.3,460.0,0.0,0.0,0.0,0.0,2,2023
49,22023,7854,536932,6.6,2288.88,0.0,4.6,1595.28,0.0,0.0,0.0,0.0,2,2023
50,22023,7262,565798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11628.0,0.0,2,2023
51,32023,7157,569218,0.3,106.5,0.0,0.0,0.0,0.0,0.0,804.39,0.0,3,2023
52,32023,7813,567456,4.1,2132.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
53,22023,7412,566840,2.6,1300.0,0.0,0.3,150.0,0.0,0.0,0.0,0.0,2,2023
54,12023,7157,569218,1.6,568.0,0.0,0.6,198.0,32.22,0.0,0.0,0.0,1,2023
55,32023,7043,536932,2.7,589.95,0.0,0.0,0.0,0.0,0.0,1012.71,0.0,3,2023
56,22023,7748,626416,1.0,620.0,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
57,22023,7848,536932,13.0,4508.4,0.0,19.0,6589.2,0.0,0.0,2536.1,0.0,2,2023
58,22023,7384,566309,0.0,0.0,0.0,0.7,175.0,0.0,0.0,0.0,0.0,2,2023
59,22023,7691,558552,0.0,0.0,0.0,2.0,995.12,0.0,95.12,0.0,0.0,2,2023
60,22023,6986,626416,2.0,1780.0,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
61,22023,7018,569622,0.0,0.0,0.0,1.4,1190.0,0.0,0.0,0.0,0.0,2,2023
62,22023,7675,539426,9.4,6815.02,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
63,12023,7522,548731,0.7,114.1,114.1,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
64,12023,7446,566371,0.0,0.0,0.0,0.4,326.0,0.0,0.0,0.0,0.0,1,2023
65,12023,7334,536932,0.5,78.75,0.0,2.3,362.25,0.0,0.0,0.0,0.0,1,2023
66,12023,7446,568715,0.1,65.5,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
67,12023,6853,568230,0.4,82.0,0.0,1.5,307.5,0.0,0.0,0.0,0.0,1,2023
68,22023,7829,558361,0.7,101.25,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
69,32023,7484,569027,55.1,29203.0,0.0,108.7,57611.0,0.0,-6042.0,10759.0,0.0,3,2023
70,12023,7422,561246,1.6,968.0,0.0,1.0,605.0,19.14,0.0,581.08,0.0,1,2023
71,12023,7700,558361,0.5,57.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
72,22023,7691,558552,5.1,2295.0,0.0,5.4,2686.82,0.0,256.82,0.0,0.0,2,2023
73,22023,6975,558552,1.0,120.0,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
74,12023,7524,558361,0.6,72.97,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
75,12023,6975,558552,0.4,48.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
76,22023,6907,536932,11.6,5620.2,0.0,9.8,4748.1,0.0,0.0,226.84,0.0,2,2023
77,32023,7829,558361,29.3,3583.27,0.0,26.5,3478.29,0.0,0.0,2975.4,0.0,3,2023
78,22023,7677,558361,0.4,185.5,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
79,22023,7015,555675,1.0,550.0,0.0,4.5,2475.0,0.0,0.0,495.0,0.0,2,2023
80,22023,7641,626417,3.9,4504.5,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
81,22023,7829,558361,0.9,129.39,0.0,1.4,0.0,0.0,-159.58,0.0,0.0,2,2023
82,12023,6907,626417,2.8,3038.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
83,32023,7666,555259,2.0,860.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
84,22023,7435,626417,0.8,300.0,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
85,32023,7097,558361,0.8,351.25,0.0,1.4,649.32,0.0,0.0,2416.8,0.0,3,2023
86,32023,7694,567249,0.4,105.6,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
87,12023,7752,558361,1.1,144.38,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
88,32023,7379,536932,0.6,102.06,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
89,12023,7700,558361,0.8,91.21,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
90,32023,7018,564607,-1.3,-552.5,0.0,0.0,0.0,0.0,0.0,85.0,0.0,3,2023
91,22023,1461,550821,0.0,0.0,0.0,1.2,294.0,0.0,0.0,0.0,0.0,2,2023
92,12023,6962,559745,0.0,0.0,0.0,0.0,0.0,0.0,-198.0,0.0,0.0,1,2023
93,32023,7442,626417,0.07,25.55,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
94,32023,7486,569722,0.0,0.0,0.0,0.0,-560.5,0.0,-560.5,0.0,0.0,3,2023
95,12023,7700,558361,0.8,91.21,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
96,22023,7740,569622,5.3,1087.5,0.0,2.7,540.0,0.0,0.0,0.0,0.0,2,2023
97,32023,7825,547629,10.4,7675.24,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
98,32023,6904,626417,2.0,1870.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
99,22023,7446,544519,0.5,150.0,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
100,32023,7496,546974,0.0,0.0,0.0,0.9,201.16,0.0,0.0,0.0,0.0,3,2023
101,32023,7334,536932,8.3,1411.83,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
102,12023,7694,566036,0.0,0.0,0.0,0.7,119.0,0.0,0.0,0.0,0.0,1,2023
103,12023,7446,544519,0.0,0.0,0.0,1.2,362.06,0.0,332.06,0.0,0.0,1,2023
104,22023,7752,566309,1.1,187.0,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
105,32023,7422,567823,1.5,637.5,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
106,32023,7510,536932,5.9,3279.22,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
107,22023,7860,558462,4.5,5377.5,0.0,0.7,437.5,0.0,0.0,0.0,0.0,2,2023
108,32023,7677,558361,0.2,-6.62,0.0,3.2,1484.01,0.0,0.0,0.0,0.0,3,2023
109,22023,7863,569083,2.3,1265.0,0.0,2.7,1485.0,0.0,0.0,0.0,0.0,2,2023
110,12023,6890,548731,0.6,220.8,0.0,8.0,633.8,0.0,-2310.2,0.0,0.0,1,2023
111,32023,6953,558260,10.3,1143.0,0.0,35.79,7518.37,0.0,-356.65,0.0,0.0,3,2023
112,12023,7036,626415,1.2,426.0,0.0,0.0,0.0,0.0,-426.0,0.0,0.0,1,2023
113,22023,6958,547485,26.3,15254.0,0.0,36.2,20996.0,0.0,0.0,8400.0,0.0,2,2023
114,32023,7845,626417,6.5,2372.5,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
115,22023,7018,568631,0.0,0.0,0.0,0.8,580.0,35.88,0.0,0.0,0.0,2,2023
116,32023,7316,547629,36.1,12635.3,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
117,22023,7694,567249,4.1,1082.41,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
118,22023,7694,567249,26.1,6762.36,0.0,2.0,400.0,0.0,0.0,0.0,0.0,2,2023
119,12023,7177,626417,2.8,2618.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
120,12023,7018,569695,3.0,2685.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
121,12023,7189,566751,0.8,480.0,0.0,1.9,1212.68,1212.68,120.15,0.0,0.0,1,2023
122,22023,7446,557464,0.0,0.0,0.0,0.4,323.84,0.0,-28.16,0.0,0.0,2,2023
123,12023,7621,558361,12.0,1276.79,0.0,0.9,0.0,0.0,-95.76,0.0,0.0,1,2023
124,32023,6905,626417,4.2,5880.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
125,12023,7379,536932,3.5,595.35,0.0,3.9,614.25,0.0,0.0,10.07,0.0,1,2023
126,12023,7565,626417,8.3,8300.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
127,22023,7665,536932,86.3,15447.7,0.0,27.3,4951.29,0.0,64.59,685.08,0.0,2,2023
128,12023,7524,558361,0.7,85.12,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
129,32023,7020,567082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1,0.0,3,2023
130,22023,7524,558361,0.6,96.0,0.0,1.2,0.0,0.0,-145.91,0.0,0.0,2,2023
131,32023,7036,556027,0.7,248.5,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
132,12023,7510,536932,28.8,16848.0,0.0,54.8,35135.4,0.0,4173.4,0.0,0.0,1,2023
133,12023,7700,548731,5.4,1031.4,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
134,12023,7384,558361,0.0,0.0,0.0,1.4,170.23,0.0,0.0,121.6,0.0,1,2023
135,22023,7580,626417,8.08,2868.4,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
136,22023,7813,567456,4.1,2132.0,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
137,22023,6956,536932,0.6,219.48,0.0,2.5,914.5,0.0,0.0,12.04,0.0,2,2023
138,32023,6931,564680,0.2,39.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
139,22023,7273,626417,2.2,781.0,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
140,22023,7520,567701,0.0,0.0,0.0,0.6,279.0,0.0,0.0,0.0,0.0,2,2023
141,12023,6975,558552,1.1,132.0,0.0,1.7,333.7,0.0,163.7,0.0,0.0,1,2023
142,32023,6907,626417,2.0,1630.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
143,12023,7621,626417,16.0,5840.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
144,12023,7691,626417,29.1,28227.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
145,22023,1461,565285,1.7,416.5,0.0,2.8,686.0,0.0,0.0,0.0,0.0,2,2023
146,22023,7549,566083,0.0,0.0,0.0,0.6,315.0,0.0,0.0,0.0,0.0,2,2023
147,32023,7157,567823,3.0,555.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
148,32023,7422,568164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,3,2023
149,12023,7860,567410,17.5,14630.0,0.0,4.0,3344.0,0.0,0.0,0.0,0.0,1,2023
150,12023,6958,547485,22.5,13050.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
151,32023,7779,567237,0.0,0.0,0.0,0.2,64.0,0.0,0.0,1216.0,0.0,3,2023
152,22023,7412,566840,2.6,1300.0,0.0,2.5,1250.0,0.0,-300.0,0.0,0.0,2,2023
153,22023,7311,536932,3.3,561.33,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
154,22023,7700,558361,0.0,0.0,0.0,1.0,0.0,0.0,-114.0,0.0,0.0,2,2023
155,22023,7677,558361,33.7,17827.9,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
156,22023,7015,566251,0.2,125.0,0.0,0.7,402.51,0.0,0.0,402.5,0.0,2,2023
157,22023,7772,561971,0.0,0.0,0.0,2.9,1522.56,0.0,0.0,0.0,0.0,2,2023
158,12023,7598,562430,0.1,75.0,0.0,0.6,450.0,0.0,0.0,0.0,0.0,1,2023
159,32023,7036,626415,2.5,887.5,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
160,22023,7545,567082,8.1,3564.0,0.0,11.7,3918.82,0.0,-1229.18,1047.01,0.0,2,2023
161,12023,7524,558361,0.7,85.12,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
162,32023,6956,536932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.13,0.0,3,2023
163,12023,7813,566331,0.0,0.0,0.0,28.8,9499.99,0.0,-4900.01,0.0,0.0,1,2023
164,32023,7446,567475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2273.85,0.0,3,2023
165,32023,7666,568904,0.0,0.0,0.0,0.4,276.0,0.0,0.0,0.0,0.0,3,2023
166,12023,7157,568028,14.1,5005.5,0.0,1.4,462.0,0.0,0.0,0.0,0.0,1,2023
167,12023,7036,626417,3.9,1367.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
168,32023,7677,567504,7.9,2962.5,0.0,11.9,4462.5,4462.5,0.0,0.0,0.0,3,2023
169,12023,1460,567780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,0.0,1,2023
170,12023,7740,545372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.2,0.0,1,2023
171,12023,7848,626417,0.1,80.5,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
172,12023,7325,626417,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
173,32023,7272,626417,7.6,9082.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
174,32023,7524,558361,4.5,630.0,0.0,0.5,0.0,0.0,-80.0,0.0,0.0,3,2023
175,12023,6904,569407,1.1,825.0,0.0,10.9,8175.0,0.0,0.0,0.0,0.0,1,2023
176,22023,6956,536932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.98,0.0,2,2023
177,32023,7097,536932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,0.0,3,2023
178,12023,6962,565833,0.0,0.0,0.0,0.3,55.8,0.0,0.0,0.0,0.0,1,2023
179,32023,7598,626417,1.0,1400.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
180,12023,7706,568165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,1,2023
181,32023,7813,567456,3.6,1872.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
182,12023,7316,547629,1.0,1.04,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
183,32023,7854,536932,1.5,547.5,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
184,12023,7700,558361,0.0,0.0,0.0,0.8,0.0,0.0,-91.2,0.0,0.0,1,2023
185,22023,7412,565273,0.0,0.0,0.0,0.3,165.0,165.0,-110.0,330.0,0.0,2,2023
186,12023,7825,569260,0.0,0.0,0.0,14.7,12465.6,0.0,0.0,0.0,0.0,1,2023
187,32023,7001,536932,7.5,1382.25,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
188,12023,7524,558361,1.1,133.76,0.0,1.1,0.0,0.0,-133.76,0.0,0.0,1,2023
189,22023,7446,544519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.04,0.0,2,2023
190,22023,7018,568230,0.0,0.0,0.0,0.0,0.0,0.0,-289.5,0.0,0.0,2,2023
191,32023,7094,626417,2.0,2800.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
192,12023,7700,558361,0.8,91.21,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
193,32023,6956,536932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1508.31,0.0,3,2023
194,22023,7011,569545,0.0,0.0,0.0,23.8,3272.54,0.0,0.0,29896.92,3895.08,2,2023
195,32023,7644,536932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.9,0.0,3,2023
196,12023,7542,568165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,0.0,1,2023
197,12023,7513,626417,11.7,12287.5,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
198,32023,7446,567602,0.3,264.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
199,32023,7752,626417,2.5,887.5,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
200,12023,7094,565710,0.0,0.0,0.0,2.0,1280.0,0.0,0.0,0.0,0.0,1,2023
201,22023,7854,536932,0.0,0.0,0.0,4.4,1627.23,0.0,21.23,629.32,0.0,2,2023
202,32023,7845,562643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.15,0.0,3,2023
203,22023,6907,626417,2.7,2929.5,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
204,22023,7625,568605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6750.0,0.0,2,2023
205,12023,7097,536932,0.0,0.0,0.0,1.7,1012.8,0.0,120.3,0.0,0.0,1,2023
206,22023,7700,558361,0.0,0.0,0.0,1.5,0.0,0.0,-171.0,0.0,0.0,2,2023
207,12023,7396,626416,1.8,621.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
208,22023,7783,566036,6.1,2836.56,0.0,57.1,26551.68,0.0,0.0,4283.18,41.32,2,2023
209,32023,7813,567456,0.0,0.0,0.0,3.46,1800.0,0.0,-1372.0,0.0,0.0,3,2023
210,22023,7854,536932,0.0,0.0,0.0,2.5,924.56,0.0,12.06,157.33,0.0,2,2023
211,32023,7694,566036,0.8,136.0,0.0,0.3,51.0,0.0,0.0,68.0,0.85,3,2023
212,22023,7496,626417,7.0,2975.0,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
213,32023,7022,536932,3.0,1496.4,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
214,22023,7641,536932,0.0,0.0,0.0,0.8,589.04,0.0,0.0,371.81,0.0,2,2023
215,12023,7804,558552,0.0,0.0,0.0,0.8,188.4,0.0,92.4,605.97,0.0,1,2023
216,12023,7435,536932,0.0,0.0,0.0,41.6,7113.6,0.0,-171.0,68.96,0.0,1,2023
217,12023,7641,536932,4.1,3177.5,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
218,22023,7545,567082,1.2,528.0,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
219,22023,7069,567082,0.0,0.0,0.0,1.0,163.67,0.0,-51.33,162.78,0.0,2,2023
220,22023,7435,538706,0.0,0.0,0.0,0.7,185.49,0.0,0.0,0.0,0.0,2,2023
221,12023,7542,566309,0.0,0.0,0.0,0.0,0.0,0.0,-652.56,0.0,0.0,1,2023
222,12023,7446,569260,1.5,1056.0,0.0,0.3,195.6,0.0,0.0,6846.0,0.0,1,2023
223,22023,7677,566163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933.51,38.49,2,2023
224,12023,7524,558361,0.0,0.0,0.0,1.4,0.0,0.0,-170.22,0.0,0.0,1,2023
225,22023,7752,558361,0.0,0.0,0.0,0.9,118.12,0.0,0.0,0.0,0.0,2,2023
226,32023,6956,536932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96,0.0,3,2023
227,22023,7641,536932,7.8,5743.14,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
228,32023,7848,536932,1.6,554.88,0.0,0.0,0.0,0.0,0.0,4282.42,0.0,3,2023
229,22023,7442,569448,0.1,17.0,0.0,0.0,0.0,0.0,0.0,30.69,0.0,2,2023
230,12023,6854,536932,0.0,0.0,0.0,0.2,110.7,0.0,0.0,2.72,0.0,1,2023
231,12023,7384,544519,0.0,0.0,0.0,0.3,36.0,0.0,0.0,0.0,0.0,1,2023
232,22023,7658,568982,1.8,657.0,0.0,1.5,438.0,438.0,-109.5,0.0,0.0,2,2023
233,12023,7737,543585,1.4,315.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
234,12023,6907,626417,1.5,1222.5,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
235,32023,7422,558260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5033.48,0.0,3,2023
236,22023,7020,567082,0.0,0.0,0.0,0.3,49.11,0.0,-15.4,0.0,0.0,2,2023
237,32023,7681,558552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.06,0.0,3,2023
238,22023,7520,556661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,2,2023
239,22023,6976,626413,0.5,525.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
240,32023,6905,569514,0.0,0.0,0.0,42.6,33015.0,0.0,0.0,0.0,0.0,3,2023
241,22023,7097,536932,0.0,0.0,0.0,6.9,3670.38,0.0,47.88,0.0,0.0,2,2023
242,22023,7675,568037,0.0,0.0,0.0,0.0,0.0,0.0,-214.5,429.0,0.0,2,2023
243,12023,7752,566309,0.0,0.0,0.0,0.0,0.0,0.0,-374.0,0.0,0.0,1,2023
244,32023,1461,562643,1.2,120.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
245,22023,7666,567885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.0,0.0,2,2023
246,22023,7020,567082,0.0,0.0,0.0,0.3,49.11,0.0,-15.4,0.0,0.0,2,2023
247,22023,7691,559692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1946.0,0.0,2,2023
248,22023,7435,536932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.0,2,2023
249,12023,7706,568568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4515.0,0.0,1,2023
250,32023,7705,558260,7.8,1638.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
251,32023,7272,564607,0.0,0.0,0.0,0.3,210.0,0.0,0.0,7420.0,0.0,3,2023
252,32023,6829,536932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1495.29,0.0,3,2023
253,12023,7700,558361,0.7,79.8,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
254,32023,7632,568023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,3,2023
255,22023,7446,558093,0.2,110.0,0.0,0.2,110.0,110.0,0.0,0.0,0.0,2,2023
256,32023,7446,546655,0.0,0.0,0.0,0.1,88.0,0.0,0.0,2525.92,0.0,3,2023
257,22023,7598,558686,3.7,1239.5,0.0,14.2,4757.0,0.0,0.0,0.0,0.0,2,2023
258,12023,7311,626417,16.18,3964.1,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
259,12023,7022,558361,17.3,6968.45,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
260,22023,7854,536932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.1,0.0,2,2023
261,22023,6975,558552,0.4,48.0,0.0,0.2,26.5,0.0,2.5,0.0,0.0,2,2023
262,22023,7524,558361,1.8,266.0,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
263,32023,7384,558361,0.4,56.0,0.0,0.0,0.0,0.0,0.0,24.32,0.0,3,2023
264,12023,7384,567380,0.0,0.0,0.0,0.3,94.5,0.0,0.0,94.5,0.0,1,2023
265,32023,7677,548225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.0,0.0,3,2023
266,22023,7150,565937,2.0,2040.0,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
267,12023,7015,555675,4.0,2200.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
